InstanceType,Duration,PaymentOption,ReservedInstanceOfferingId,FixedPrice
c5.large.search,31536000,ALL_UPFRONT,6b7eb625-9287-4b90-a13a-efb0799c5c8b,900.0
c5.large.search,31536000,PARTIAL_UPFRONT,9bd73274-a87a-4e81-86c3-c76286e8b18d,464.0
c5.large.search,94608000,NO_UPFRONT,afc0c4c5-d567-4a2b-9614-afe9774abf54,0.0
c5.large.search,94608000,PARTIAL_UPFRONT,d9072e68-78ab-4ba7-95bf-38e23fc12313,1038.0
c5.large.search,31536000,NO_UPFRONT,e5a9a374-d77f-436d-b8e5-be91f63cb6e6,0.0
c5.xlarge.search,94608000,PARTIAL_UPFRONT,19ec6527-9ec8-4534-a97d-6ea4b7452f00,2076.0
c5.xlarge.search,94608000,NO_UPFRONT,32533ad6-fe6c-4465-a5ed-bceac609c752,0.0
c5.xlarge.search,31536000,ALL_UPFRONT,84b2ad2b-4db9-40f8-bc01-5ee8ca8bb518,1799.0
c5.xlarge.search,94608000,ALL_UPFRONT,98bd63de-198f-45b3-a279-2a278c922327,3986.0
c5.xlarge.search,31536000,PARTIAL_UPFRONT,9f56b719-f937-48cf-b861-98c9a8b97187,927.0
c5.xlarge.search,31536000,NO_UPFRONT,d5175b47-e0d8-45f9-b961-88c07c984bfe,0.0
c6g.12xlarge.search,31536000,PARTIAL_UPFRONT,0f7498e8-e398-4c1c-bd0c-369b4198b2a5,10006.986
c6g.12xlarge.search,31536000,ALL_UPFRONT,29497edb-7b7f-41c4-aa9b-e7269ae17a4c,19416.54
c6g.12xlarge.search,94608000,NO_UPFRONT,b7f28dac-4992-4769-9418-02ff99d32f87,0.0
c6g.12xlarge.search,31536000,NO_UPFRONT,bc897866-f580-40d8-b5c3-c4992f9255c6,0.0
c6g.12xlarge.search,94608000,PARTIAL_UPFRONT,e3f1cc26-0a3a-4ca1-bbf7-b2c2fd667863,22403.7
c6g.12xlarge.search,94608000,ALL_UPFRONT,ff6aad60-c452-4b81-a684-713a2fa199e0,43015.104
c6g.2xlarge.search,31536000,ALL_UPFRONT,685dc9b0-d1ae-4968-8a31-c599ed4ed3d7,3234.192
c6g.2xlarge.search,31536000,NO_UPFRONT,6e9aec78-6e56-4b77-abc3-0c946182c210,0.0
c6g.2xlarge.search,31536000,PARTIAL_UPFRONT,78da8c27-5e1f-4c1a-bc09-a7b4144e5ed3,1666.853
c6g.2xlarge.search,94608000,PARTIAL_UPFRONT,a8302f6b-b6e3-4fcd-9882-38f2c83a5750,3731.76
c6g.2xlarge.search,94608000,ALL_UPFRONT,c64d9500-1498-44bf-a45f-b4cab6a9f8fa,7164.979
c6g.2xlarge.search,94608000,NO_UPFRONT,f4ee259f-ef32-423a-8cb2-075ce6369137,0.0
c6g.4xlarge.search,94608000,ALL_UPFRONT,0eebd8a5-24fe-4c0c-87c4-8580e62c8109,14342.573
c6g.4xlarge.search,31536000,ALL_UPFRONT,0f48f030-0deb-417d-8f02-5d0c7b77e34a,6474.078
c6g.4xlarge.search,94608000,PARTIAL_UPFRONT,51867b15-a99b-4d6c-9f1c-ecd116fb7cf3,7470.09
c6g.4xlarge.search,31536000,PARTIAL_UPFRONT,7caff268-ec77-487b-ab5b-83455d55936c,3336.64
c6g.4xlarge.search,31536000,NO_UPFRONT,997c4b3c-88cf-4baa-ba0b-064c374b2cd0,0.0
c6g.4xlarge.search,94608000,NO_UPFRONT,dcd0f10d-14b3-4d60-806d-3e323f179a56,0.0
c6g.8xlarge.search,94608000,PARTIAL_UPFRONT,01849fb3-0d36-4539-8688-02c894f5c055,14940.18
c6g.8xlarge.search,31536000,NO_UPFRONT,4e632e0a-43e9-46bd-9e2b-0c26cb20b281,0.0
c6g.8xlarge.search,94608000,NO_UPFRONT,a83c34d2-610d-46b3-8e95-f3ce69e20a7e,0.0
c6g.8xlarge.search,31536000,PARTIAL_UPFRONT,abf52782-91ac-41c9-a7aa-fc811e1b3b9c,6673.28
c6g.8xlarge.search,31536000,ALL_UPFRONT,d14390d4-a0bb-44ab-bbf6-3651e51b7967,12948.156
c6g.8xlarge.search,94608000,ALL_UPFRONT,dc91df3f-5335-4bbb-916c-4c79cb0bda01,28685.146
c6g.large.search,94608000,ALL_UPFRONT,3a267000-431d-4e1e-9fab-9ffbd899a3ec,1791.245
c6g.large.search,31536000,ALL_UPFRONT,4aee527c-bd26-46ce-87cf-032c06849827,808.548
c6g.large.search,31536000,PARTIAL_UPFRONT,61c502f0-078f-4304-9f06-43909e9533f5,416.713
c6g.large.search,94608000,PARTIAL_UPFRONT,68869a58-c09c-4005-b3a3-025e3abc0caf,932.94
c6g.large.search,31536000,NO_UPFRONT,7b9900f2-403a-4759-a95a-27062a2edb85,0.0
