InstanceType,ap-northeast-1a,ap-northeast-1c,ap-northeast-1d
m6g.xlarge,True,True,True
m6gd.12xlarge,True,True,True
m6gd.16xlarge,True,True,True
m6gd.2xlarge,True,True,True
m6gd.4xlarge,True,True,True
m6gd.8xlarge,True,True,True
m6gd.large,True,True,True
m6gd.medium,True,True,True
m6gd.metal,True,True,True
m6gd.xlarge,True,True,True
m6i.12xlarge,True,False,True
m6i.16xlarge,True,False,True
m6i.24xlarge,True,False,True
m6i.2xlarge,True,False,True
m6i.32xlarge,True,False,True
m6i.4xlarge,True,False,True
m6i.8xlarge,True,False,True
m6i.large,True,False,True
m6i.xlarge,True,False,True
mac1.metal,True,True,False
p2.16xlarge,True,True,False
p2.8xlarge,True,True,False
p2.xlarge,True,True,False
p3.16xlarge,True,True,False
p3.2xlarge,True,True,False
p3.8xlarge,True,True,False
p3dn.24xlarge,True,False,False
p4d.24xlarge,True,False,False
r3.2xlarge,True,True,False
r3.4xlarge,True,True,False
r3.8xlarge,True,True,False
r3.large,True,True,False
r3.xlarge,True,True,False
r4.16xlarge,True,True,True
r4.2xlarge,True,True,True
r4.4xlarge,True,True,True
r4.8xlarge,True,True,True
r4.large,True,True,True
r4.xlarge,True,True,True
r5.12xlarge,True,True,True
r5.16xlarge,True,True,True
r5.24xlarge,True,True,True
r5.2xlarge,True,True,True
r5.4xlarge,True,True,True
r5.8xlarge,True,True,True
r5.large,True,True,True
r5.metal,True,True,True
r5.xlarge,True,True,True
r5a.12xlarge,True,True,True
r5a.16xlarge,True,True,True
r5a.24xlarge,True,True,True
r5a.2xlarge,True,True,True
r5a.4xlarge,True,True,True
r5a.8xlarge,True,True,True
r5a.large,True,True,True
r5a.xlarge,True,True,True
r5ad.12xlarge,True,False,True
r5ad.16xlarge,True,False,True
r5ad.24xlarge,True,False,True
r5ad.2xlarge,True,False,True
r5ad.4xlarge,True,False,True
r5ad.8xlarge,True,False,True
r5ad.large,True,False,True
r5ad.xlarge,True,False,True
r5b.12xlarge,True,True,True
r5b.16xlarge,True,True,True
r5b.24xlarge,True,True,True
r5b.2xlarge,True,True,True
r5b.4xlarge,True,True,True
r5b.8xlarge,True,True,True
r5b.large,True,True,True
r5b.metal,True,True,True
r5b.xlarge,True,True,True
r5d.12xlarge,True,True,True
r5d.16xlarge,True,True,True
r5d.24xlarge,True,True,True
r5d.2xlarge,True,True,True
r5d.4xlarge,True,True,True
r5d.8xlarge,True,True,True
r5d.large,True,True,True
r5d.metal,True,True,True
r5d.xlarge,True,True,True
r5dn.12xlarge,True,True,True
r5dn.16xlarge,True,True,True
r5dn.24xlarge,True,True,True
r5dn.2xlarge,True,True,True
r5dn.4xlarge,True,True,True
r5dn.8xlarge,True,True,True
r5dn.large,True,True,True
r5dn.metal,True,True,True
r5dn.xlarge,True,True,True
r5n.12xlarge,True,True,True
r5n.16xlarge,True,True,True
r5n.24xlarge,True,True,True
r5n.2xlarge,True,True,True
r5n.4xlarge,True,True,True
r5n.8xlarge,True,True,True
r5n.large,True,True,True
r5n.metal,True,True,True
r5n.xlarge,True,True,True
r6g.12xlarge,True,True,True
r6g.16xlarge,True,True,True
r6g.2xlarge,True,True,True
r6g.4xlarge,True,True,True
r6g.8xlarge,True,True,True
r6g.large,True,True,True
r6g.medium,True,True,True
r6g.metal,True,True,True
r6g.xlarge,True,True,True
r6gd.12xlarge,True,True,True
r6gd.16xlarge,True,True,True
r6gd.2xlarge,True,True,True
r6gd.4xlarge,True,True,True
r6gd.8xlarge,True,True,True
r6gd.large,True,True,True
r6gd.medium,True,True,True
r6gd.metal,True,True,True
r6gd.xlarge,True,True,True
t1.micro,True,True,False
t2.2xlarge,True,True,True
t2.large,True,True,True
t2.medium,True,True,True
t2.micro,True,True,True
t2.nano,True,True,True
t2.small,True,True,True
t2.xlarge,True,True,True
t3.2xlarge,True,True,True
t3.large,True,True,True
t3.medium,True,True,True
t3.micro,True,True,True
t3.nano,True,True,True
t3.small,True,True,True
t3.xlarge,True,True,True
t3a.2xlarge,True,False,True
t3a.large,True,False,True
t3a.medium,True,False,True
t3a.micro,True,False,True
t3a.nano,True,False,True
t3a.small,True,False,True
t3a.xlarge,True,False,True
t4g.2xlarge,True,True,True
t4g.large,True,True,True
t4g.medium,True,True,True
t4g.micro,True,True,True
t4g.nano,True,True,True
t4g.small,True,True,True
t4g.xlarge,True,True,True
vt1.24xlarge,True,False,False
vt1.3xlarge,True,False,False
vt1.6xlarge,True,False,False
x1.16xlarge,True,True,True
x1.32xlarge,True,True,True
x1e.16xlarge,True,True,False
x1e.2xlarge,True,True,False
x1e.32xlarge,True,True,False
x1e.4xlarge,True,True,False
x1e.8xlarge,True,True,False
x1e.xlarge,True,True,False
z1d.12xlarge,True,True,True
z1d.2xlarge,True,True,True
z1d.3xlarge,True,True,True
z1d.6xlarge,True,True,True
z1d.large,True,True,True
z1d.metal,True,True,True
z1d.xlarge,True,True,True
