InstanceType,us-east-1a,us-east-1b,us-east-1c,us-east-1d,us-east-1e,us-east-1f
g4ad.16xlarge,True,True,True,True,False,False
g4ad.2xlarge,True,True,True,True,False,False
g4ad.4xlarge,True,True,True,True,False,False
g4ad.8xlarge,True,True,True,True,False,False
g4ad.xlarge,True,True,True,True,False,False
g4dn.12xlarge,True,True,True,True,False,True
g4dn.16xlarge,True,True,True,True,False,True
g4dn.2xlarge,True,True,True,True,False,True
g4dn.4xlarge,True,True,True,True,False,True
g4dn.8xlarge,True,True,True,True,False,True
g4dn.metal,True,True,True,True,False,True
g4dn.xlarge,True,True,True,True,False,True
g5.12xlarge,True,True,True,True,False,True
g5.16xlarge,True,True,True,True,False,True
g5.24xlarge,True,True,True,True,False,True
g5.2xlarge,True,True,True,True,False,True
g5.48xlarge,True,True,True,True,False,True
g5.4xlarge,True,True,True,True,False,True
g5.8xlarge,True,True,True,True,False,True
g5.xlarge,True,True,True,True,False,True
g5g.16xlarge,True,True,True,True,False,False
g5g.2xlarge,True,True,True,True,False,False
g5g.4xlarge,True,True,True,True,False,False
g5g.8xlarge,True,True,True,True,False,False
g5g.metal,True,True,True,True,False,False
g5g.xlarge,True,True,True,True,False,False
h1.16xlarge,True,True,False,True,False,True
h1.2xlarge,True,True,False,True,False,True
h1.4xlarge,True,True,False,True,False,True
h1.8xlarge,True,True,False,True,False,True
i2.2xlarge,True,True,True,True,True,False
i2.4xlarge,True,True,True,True,True,False
i2.8xlarge,True,True,True,True,True,False
i2.xlarge,True,True,True,True,True,False
i3.16xlarge,True,True,True,True,True,True
i3.2xlarge,True,True,True,True,True,True
i3.4xlarge,True,True,True,True,True,True
i3.8xlarge,True,True,True,True,True,True
i3.large,True,True,True,True,True,True
i3.metal,True,True,True,True,False,True
i3.xlarge,True,True,True,True,True,True
i3en.12xlarge,True,True,True,True,False,True
i3en.24xlarge,True,True,True,True,False,True
i3en.2xlarge,True,True,True,True,False,True
i3en.3xlarge,True,True,True,True,False,True
i3en.6xlarge,True,True,True,True,False,True
i3en.large,True,True,True,True,False,True
i3en.metal,True,True,True,True,False,True
i3en.xlarge,True,True,True,True,False,True
i4i.16xlarge,True,True,True,True,False,True
i4i.2xlarge,True,True,True,True,False,True
i4i.32xlarge,True,True,True,True,False,True
i4i.4xlarge,True,True,True,True,False,True
i4i.8xlarge,True,True,True,True,False,True
i4i.large,True,True,True,True,False,True
i4i.metal,True,True,True,True,False,True
i4i.xlarge,True,True,True,True,False,True
im4gn.16xlarge,True,True,False,True,False,False
im4gn.2xlarge,True,True,False,True,False,False
im4gn.4xlarge,True,True,False,True,False,False
im4gn.8xlarge,True,True,False,True,False,False
im4gn.large,True,True,False,True,False,False
im4gn.xlarge,True,True,False,True,False,False
inf1.24xlarge,True,True,True,True,False,True
inf1.2xlarge,True,True,True,True,False,True
inf1.6xlarge,True,True,True,True,False,True
inf1.xlarge,True,True,True,True,False,True
is4gen.2xlarge,True,True,False,True,False,False
is4gen.4xlarge,True,True,False,True,False,False
is4gen.8xlarge,True,True,False,True,False,False
is4gen.large,True,True,False,True,False,False
is4gen.medium,True,True,False,True,False,False
is4gen.xlarge,True,True,False,True,False,False
m1.large,True,True,True,True,False,False
m1.medium,True,True,True,True,False,False
m1.small,True,True,True,True,False,False
m1.xlarge,True,True,True,True,False,False
m2.2xlarge,True,True,True,True,False,False
m2.4xlarge,True,True,True,True,False,False
m2.xlarge,True,True,True,True,False,False
m3.2xlarge,True,True,False,True,True,False
m3.large,True,True,False,True,True,False
m3.medium,True,True,False,True,True,False
m3.xlarge,True,True,False,True,True,False
m4.10xlarge,True,True,True,True,True,True
m4.16xlarge,True,True,True,True,True,True
m4.2xlarge,True,True,True,True,True,True
m4.4xlarge,True,True,True,True,True,True
m4.large,True,True,True,True,True,True
m4.xlarge,True,True,True,True,True,True
m5.12xlarge,True,True,True,True,False,True
m5.16xlarge,True,True,True,True,False,True
m5.24xlarge,True,True,True,True,False,True
m5.2xlarge,True,True,True,True,False,True
m5.4xlarge,True,True,True,True,False,True
m5.8xlarge,True,True,True,True,False,True
m5.large,True,True,True,True,False,True
m5.metal,True,True,True,True,False,True
m5.xlarge,True,True,True,True,False,True
m5a.12xlarge,True,True,True,True,False,True
m5a.16xlarge,True,True,True,True,False,True
m5a.24xlarge,True,True,True,True,False,True
m5a.2xlarge,True,True,True,True,False,True
m5a.4xlarge,True,True,True,True,False,True
m5a.8xlarge,True,True,True,True,False,True
m5a.large,True,True,True,True,False,True
m5a.xlarge,True,True,True,True,False,True
m5ad.12xlarge,True,True,True,True,False,True
m5ad.16xlarge,True,True,True,True,False,True
m5ad.24xlarge,True,True,True,True,False,True
m5ad.2xlarge,True,True,True,True,False,True
m5ad.4xlarge,True,True,True,True,False,True
m5ad.8xlarge,True,True,True,True,False,True
m5ad.large,True,True,True,True,False,True
m5ad.xlarge,True,True,True,True,False,True
